Id,Division,Contact,Details_OtherContact,Value_Millions,Size,PricePerPerch,TownDistMetres,BusHaltDistMetres,Water & Electricity Availability,Water & Electricity Availability(Sp),NeighbouringLands,Level,NearbyLocations,Parks,Schools,Temples,Churches,Mosques,Kovils,ShoppingCenters,Other,OtherDescribe,AdditionalResource,ResourcesDescribe,Resource_Valuation,Resource_Valuation(Sp),LandUse,Describe
141,Homagama,Telephone, , ,18,0.25,1100,500,Both,2,0,Flat,3,1,0,2,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Area
142,Homagama,Telephone, , ,11.67,0.37,985,400,Electricity,1,0,Flat,4,0,1,1,1,0,0,1,0, ,None, ,No Resources,0,Residential,Residential Area
143,Homagama,Telephone, , ,15,1,115,5,Both,2,0,Flat,4,0,1,1,0,0,0,0,2,Hospital/ Rohala Railway Station,None, ,No Resources,0,Commercial & Residential,Residentila/for a shop
144,Homagama,Telephone, , ,11.2,0.215,1350,100,Both,2,0,Flat,1,0,0,1,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Area
145,Kolonnawa,Telephone, , ,50,0.9,950,380,Both,2,0,Flat,7,0,2,1,0,1,0,2,1,Kolonnawa Mathru Niwasaya (Hospital),None, ,No Resources,0,Commercial & Residential,Residential/Commercial
146,Kolonnawa,Telephone, ,45,12.5,3.6,760,370,Both,2,0,Flat,3,0,0,1,0,0,0,1,1,Base Hospital,Building,Building(3),0-50,1,Residential,Newly Built House
147,Kolonnawa,Telephone, , ,7.28,0.66,270,270,Both,2,0,Flat,3,0,0,1,0,0,0,1,1,Mulleriyawa Nursing Home,None, ,No Resources,0,Residential,Residential Area
148,Kolonnawa,Telephone, , ,7,0.45,1280,1100,Both,2,2,Flat,1,0,1,0,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Area
149,Kolonnawa,Telephone, , ,7.25,0.525,970,650,Both,2,0,Flat,5,0,1,1,1,0,0,1,1,Kotikawaththe Medical Center,None, ,No Resources,0,Residential,Residential Area
150,Kolonnawa,Telephone, ,15,9.5,1.57894,900,600,Both,2,0,Flat,3,1,0,0,1,1,0,0,0, ,Building,Building(2),0-50,1,Residential,Residential Land
151,Kolonnawa,Telephone, ,3.75,7,0.535714,700,40,Both,2,0,Non-Flat,1,0,0,0,0,0,0,0,1,IDH Hospital,None, ,No Resources,0,Residential,Residential Land
152,Kolonnawa,Telephone, ,4.7,6,0.783333,1000,580,Both,2,0,Flat,1,0,0,0,0,0,0,1,0, ,Building,Building(1),0-50,1,Residential,Partly Built House
153,Kolonnawa,Telephone, , ,20,0.65,500,500,Both,2,0,Flat,5,0,1,1,0,0,0,2,1, ,None, ,No Resources,0,Commercial & Residential,Store Room/House
154,Kolonnawa,Telephone, , ,7,0.475,605,605,Both,2,1,Flat,5,0,0,3,0,0,0,1,1,Base Hospital,None, ,No Resources,0,Residential,Residential Land
155,Kolonnawa,Telephone, , ,11,0.325,500,500,Both,2,0,Flat,2,0,0,2,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
156,Padukka & Hanwella,Telephone, , ,75,0.115,1400,70,Electricity,1,0,Flat,3,0,1,1,0,0,0,0,1,Angampitiya Railway Station,None, ,No Resources,0,Residential,Residential/Shop
157,Padukka & Hanwella,Telephone, , ,24,0.4,1000,400,Electricity,1,0,Flat,5,0,1,0,1,0,0,0,3,"Padukka Police, Railway Stations/ Hospital",Plants,Coconut Land,No Resources,0,Commercial & Residential,Cultivate Coconuts/Residential
158,Padukka & Hanwella,Telephone, , ,400,0.07,1300,1200,Electricity,1,0,Non-Flat,1,0,0,1,0,0,0,0,0, ,Plants,Coconut Plants,No Resources,0,Commercial & Residential,Tourist Hotel/Guest House
159,Padukka & Hanwella,Telephone, , ,14,0.11,1700,1300,Electricity,1,0,Flat,1,0,1,0,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
160,Padukka & Hanwella,Telephone, , ,10,0.155,1200,800,Electricity,1,0,Flat,5,0,0,2,1,0,1,0,1,Mawathagama Hospital,None, ,No Resources,0,Residential,Residential Land
161,Padukka & Hanwella,Telephone, , ,1280,0.01,1600,500,Electricity,1,0,Non-Flat,2,0,1,1,0,0,0,0,0, ,Plants,Rubber Plantation,No Resources,0,Commercial,Rubber Cultivation
162,Padukka & Hanwella,Telephone, , ,15.75,0.09,1100,1300,Both,2,0,Non-Flat,0,0,0,0,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential land
163,Padukka & Hanwella,Telephone, , ,30,0.067,2100,1200,Both,2,0,Flat,1,0,0,1,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
164,Padukka & Hanwella,Telephone, ,1.05,15,0.07,1900,3500,Both,2,0,Flat,2,0,0,1,0,0,0,0,1,Gammana Railway Station,None, ,No Resources,0,Residential,Residential Land
165,Padukka & Hanwella,Telephone, ,8.5,172,0.049418,1400,1400,Electricity,1,0,Flat,1,0,0,1,0,0,0,0,0, ,None, ,No Resources,0,Commercial & Residential,Residential/Hotel/Resort
166,Padukka & Hanwella,Telephone, , ,10,0.02,1430,1050,Both,2,0,Flat,0,0,0,0,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
167,Padukka & Hanwella,Telephone, , ,3200,0.0937,1200,500,Electricity,1,0,Non-Flat,0,0,0,0,0,0,0,0,0, ,More than one,Granite/Rubber Cultivation,No Resources,0,Commercial,Hotel/Rubber Estate
168,Padukka & Hanwella,Telephone, , ,11,0.25,1970,1500,Both,2,0,Flat,0,0,0,0,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
169,Padukka & Hanwella,Telephone, , ,108,0.09,1600,1150,Electricity,1,0,Flat,2,0,0,1,0,0,0,0,1,Uggala Sub Railway Station,None, ,No Resources,0,Commercial & Residential,Hotel/Boutique/Residential
170,Padukka & Hanwella,Telephone, , ,10,0.09,500,500,Both,2,3,Flat,1,0,1,0,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
171,Padukka & Hanwella,Telephone, ,2.5,24,0.104166,1620,1000,Electricity,1,0,Flat,2,0,2,0,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
172,Padukka & Hanwella,Telephone, , ,15,0.0765,1200,810,Both,2,2,Flat,2,0,0,2,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
173,Padukka & Hanwella,Telephone, ,3.7,15,0.246666,400,300,Both,2,0,Flat,8,0,1,2,1,0,0,1,3,Padukka Station and Hospital/Jeewaka Hospital,None, ,No Resources,0,Residential,Residential Land
174,Padukka & Hanwella,Telephone, ,4.5,40,0.45,1200,510,Both,2,0,Non-Flat,0,0,0,0,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
175,Padukka & Hanwella,Telephone, , ,202.6,0.65,400,0,Both,2,0,Flat,9,0,3,1,1,1,0,1,2,Padukka Station/Divisional Hospital,None, ,No Resources,0,Commercial & Residential,Situation in main rd so better for commercial
176,Padukka & Hanwella,Telephone, , ,10,0.11,1200,700,Electricity,1,3,Flat,1,0,0,1,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
177,Padukka & Hanwella,Telephone, , ,15,1.75,500,110,Both,2,0,Flat,5,0,1,1,1,0,0,0,2,Railway Station/Divisional Hospital,None, ,No Resources,0,Residential,Residential Land
178,Padukka & Hanwella,Telephone, ,7.05,47,0.15,500,0,Electricity,1,0,Flat,5,0,1,3,0,0,0,1,0, ,None, ,No Resources,0,Commercial & Residential,Shop/Grocery/Residential
179,Padukka & Hanwella,Telephone, , ,12,0.0825,800,500,Electricity,1,0,Non-Flat,4,0,0,2,0,0,1,0,1, ,None, ,No Resources,0,Residential,Residential Land
180,Padukka & Hanwella,Telephone, ,21.25,170,0.125,1200,500,Electricity,1,0,Non-Flat,4,0,1,1,0,0,0,0,2,Gamma Halt/Morakale Railways,Other,Water Stream(adds Beauty),No Resources,0,Commercial & Residential,Residential/Holiday Home/Hotel
181,Padukka & Hanwella,Telephone, ,0.7,17,0.041176,2100,2100,Both,2,0,Non-Flat,2,0,1,1,0,0,0,0,0, ,None, ,No Resources,0,Commercial & Residential,Residential/Commercial
182,Padukka & Hanwella,Telephone, ,6.75,135,0.05,4000,600,Both,2,0,Non-Flat,1,0,0,1,0,0,0,0,0, ,None, ,No Resources,0,Commercial & Residential,Forest like land
183,Padukka & Hanwella,Telephone, ,18,800,0.0225,1000,1000,Electricity,1,0,Non-Flat,0,0,0,0,0,0,0,0,0, ,Plants,Tea Cultivated land,No Resources,0,Commercial,Crops cultivated land
184,Padukka & Hanwella,Telephone, , ,27.75,0.75,1200,120,Both,2,0,Flat,1,0,0,0,0,0,0,0,1,Puwakpitiya Station,None, ,No Resources,0,Commercial & Residential,Residential/shop/Commercial/Warehouse
185,Padukka & Hanwella,Telephone, ,2.6,120,0.216666,850,500,Both,2,0,Flat,3,0,2,1,0,0,0,0,0, ,None, ,No Resources,0,Commercial & Residential,Residential/Small Boutique
186,Padukka & Hanwella,Telephone, , ,10,0.09,1100,100,Both,2,3,Flat,3,0,2,1,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Land
187,Padukka & Hanwella,Telephone, ,7,720,0.009722222,1900,1900,None,0,0,Non-Flat,1,0,0,1,0,0,0,0,0, ,Plants,Rubber Plantation,No Resources,0,Commercial,Rubber Cultivation/Hotel
188,Padukka & Hanwella,Telephone, ,12,1920,0.00625,1600,1600,None,0,0,Non-Flat,1,0,0,1,0,0,0,0,0, ,Plants,Rubber in 3 acres,No Resources,0,Commercial & Residential,Spring water bottle project/Ware House/Soli Excavation etc.
189,Padukka & Hanwella,Telephone, ,20,422,0.04739,1000,1200,Electricity,1,0,Non-Flat,2,0,1,1,0,0,0,0,0, ,More than one,Small house/Rubber/Coconut,No Resources,0,Commercial,Villa/Spring water/Cultivation/Residence
190,Padukka & Hanwella,Telephone, , ,200,0.1,1000,1000,Electricity,1,0,Flat,0,0,0,0,0,0,0,0,0, ,Plants,40 Rubber Trees,No Resources,0,Commercial & Residential,Rubber Cultivation/Residence
191,Padukka & Hanwella,Telephone, ,4,109,0.03666,1050,600,Electricity,1,0,Non-Flat,4,0,0,2,2,0,0,0,0, ,None, ,No Resources,0,Commercial & Residential,Hotel/Villa/Residential
192,Padukka & Hanwella,Telephone, , ,21,0.22,600,310,Both,2,0,Flat,5,0,1,0,0,2,0,1,1,Hanwella Bus Station,None, ,No Resources,0,Residential,Residential Land
193,Padukka & Hanwella,Telephone, ,3,47,0.0638297,1000,1000,Both,2,0,Non-Flat,1,0,0,0,0,0,0,0,1,Hanwella Bus Station,None, ,No Resources,0,Commercial & Residential,Residential Land/Cultivate Crops
194,Padukka & Hanwella,Telephone, , ,140,0.17,750,750,Electricity,1,0,Flat,5,0,1,0,1,1,0,1,1,Hanwella Police Station,None, ,No Resources,0,Residential,Residential land
195,Padukka & Hanwella,Telephone, ,1.1,10.8,0.101851,1000,3500,Both,2,0,Flat,6,0,0,2,2,0,0,0,2,Morakele sub Railway/Gamma Halt,None, ,No Resources,0,Residential,Residential Land
196,Padukka & Hanwella,Telephone, ,6.5,144.5,0.044298,900,1500,None,0,0,Non-Flat,1,0,0,1,0,0,0,0,0, ,None,Forest Land,No Resources,0,Commercial & Residential,Hotel/Rubber Plantation etc.
197,Padukka & Hanwella,Telephone, , ,9,0.6,450,10,Electricity,1,0,Flat,5,0,1,1,1,0,0,1,1,Kosgama Railway Station,Plants,"Coconut, King Coconut,Jackfruit",No Resources,0,Commercial & Residential,Residence/Shop/Cultivation
198,Padukka & Hanwella,Telephone, ,24,136,0.1764,650,650,Electricity,1,0,Flat,5,0,1,2,0,0,0,0,2,Kosgama Police & Railway Stations,Plants,Coconut Plants,No Resources,0,Commercial & Residential,Residence/Coconuit Plantation
199,Padukka & Hanwella,Telephone, , ,15,0.015,650,1300,Electricity,1,2,Non-Flat,4,0,1,2,0,0,0,1,0, ,None, ,No Resources,0,Residential,Residential Land
200,Padukka & Hanwella,Telephone, , ,40,0.055,850,310,Both,2,0,Flat,5,0,1,1,0,0,0,0,3,"Hingurala Railway, Kosgama Railway/ Police Stations",None, ,No Resources,0,Residential,Residential Land
